Date,Close,Volume,Unemployment Rate,rf_3 Yr,const
2020-01-02,59.74123764038086,23753600,3.6,1.59,1.0
2020-01-03,58.78502655029297,20538400,3.6,1.54,1.0
2020-01-06,59.03154373168945,26263600,3.6,1.56,1.0
2020-01-07,59.746219635009766,31485600,3.6,1.55,1.0
2020-01-08,59.858280181884766,27710800,3.6,1.61,1.0
2020-01-09,60.51567077636719,25511200,3.6,1.59,1.0
2020-01-10,60.83939743041992,31629600,3.6,1.59,1.0
2020-01-13,62.74685287475586,31984000,3.6,1.6,1.0
2020-01-14,61.57648086547852,35908800,3.6,1.59,1.0
2020-01-15,61.15066146850586,26310400,3.6,1.56,1.0
2020-01-16,61.98735809326172,28419200,3.6,1.58,1.0
2020-01-17,62.07451629638672,25379200,3.6,1.56,1.0
2020-01-21,61.7408332824707,21791600,3.6,1.53,1.0
2020-01-22,62.28118896484375,23924000,3.6,1.52,1.0
2020-01-23,62.96598815917969,24451600,3.6,1.51,1.0
2020-01-24,62.373329162597656,37351200,3.6,1.48,1.0
2020-01-27,59.81344985961914,47053600,3.6,1.41,1.0
2020-01-28,61.7483024597168,31097600,3.6,1.45,1.0
2020-01-29,61.143184661865234,25884800,3.6,1.39,1.0
2020-01-30,61.210426330566406,29050400,3.6,1.37,1.0
2020-01-31,58.87466812133789,37042000,3.6,1.3,1.0
2020-02-03,59.8458251953125,25556400,3.5,1.34,1.0
2020-02-04,61.53913116455078,27154400,3.5,1.4,1.0
2020-02-05,62.44305038452149,20822000,3.5,1.43,1.0
2020-02-06,63.31211853027344,21828400,3.5,1.43,1.0
2020-02-07,62.64974212646485,18975200,3.5,1.39,1.0
2020-02-10,65.48352813720703,52960800,3.5,1.36,1.0
2020-02-11,66.70868682861328,63855600,3.5,1.39,1.0
2020-02-12,67.86659240722656,37464400,3.5,1.42,1.0
2020-02-13,67.4283218383789,52801600,3.5,1.42,1.0
2020-02-14,72.162109375,104192400,3.5,1.4,1.0
2020-02-18,73.85044860839844,62016400,3.5,1.37,1.0
2020-02-19,78.36509704589844,69433200,3.5,1.39,1.0
2020-02-20,76.87098693847656,81005200,3.5,1.35,1.0
2020-02-21,73.22789764404297,76818000,3.5,1.3,1.0
2020-02-24,68.05087280273438,85691600,3.5,1.21,1.0
2020-02-25,65.25443267822266,105549600,3.5,1.16,1.0
2020-02-26,66.64892578125,74773200,3.5,1.14,1.0
2020-02-27,62.938873291015625,90641600,3.5,1.08,1.0
2020-02-28,67.29176330566406,113325200,3.5,0.85,1.0
2020-03-02,68.87645721435547,89074400,4.4,0.85,1.0
2020-03-03,66.2502670288086,65279200,4.4,0.72,1.0
2020-03-04,70.88968658447266,59740800,4.4,0.68,1.0
2020-03-05,68.09406280517578,54032800,4.4,0.61,1.0
2020-03-06,66.2876205444336,51541200,4.4,0.53,1.0
2020-03-09,61.15485382080078,61416000,4.4,0.4,1.0
2020-03-10,65.05178833007812,58064800,4.4,0.58,1.0
2020-03-11,61.41149139404297,49996400,4.4,0.58,1.0
2020-03-12,53.89670181274414,81654000,4.4,0.58,1.0
2020-03-13,60.00869369506836,63483600,4.4,0.58,1.0
2020-03-16,48.93584060668945,72697200,4.4,0.43,1.0
2020-03-17,54.13589477539063,83363200,4.4,0.54,1.0
2020-03-18,50.53547668457031,87426800,4.4,0.66,1.0
2020-03-19,53.064491271972656,76551200,4.4,0.53,1.0
2020-03-20,51.26552963256836,80463600,4.4,0.41,1.0
2020-03-23,52.99472427368164,64387600,4.4,0.31,1.0
2020-03-24,62.08672332763672,110164400,4.4,0.44,1.0
2020-03-25,61.199703216552734,79343200,4.4,0.41,1.0
2020-03-26,64.0949935913086,69610800,4.4,0.36,1.0
2020-03-27,62.97124862670898,63882800,4.4,0.3,1.0
2020-03-30,66.1755142211914,60225200,4.4,0.29,1.0
2020-03-31,65.6796646118164,94996000,4.4,0.29,1.0
2020-04-01,60.5643310546875,65691200,14.8,0.28,1.0
2020-04-02,63.65397262573242,67576400,14.8,0.29,1.0
2020-04-03,60.77363204956055,66321200,14.8,0.3,1.0
2020-04-06,66.87565612792969,72788400,14.8,0.35,1.0
2020-04-07,64.5409927368164,78452000,14.8,0.36,1.0
2020-04-08,66.51437377929688,54244400,14.8,0.34,1.0
2020-04-09,65.5177230834961,52556400,14.8,0.29,1.0
2020-04-13,67.23693084716797,39840800,14.8,0.31,1.0
2020-04-14,70.75018310546875,53094800,14.8,0.29,1.0
2020-04-15,69.97525024414062,36614800,14.8,0.24,1.0
2020-04-16,73.4286880493164,74562000,14.8,0.25,1.0
2020-04-17,72.83566284179688,53912000,14.8,0.26,1.0
2020-04-20,71.52256774902344,44938800,14.8,0.26,1.0
2020-04-21,67.15223693847656,73516000,14.8,0.24,1.0
2020-04-22,71.2983169555664,48335600,14.8,0.26,1.0
2020-04-23,70.7651138305664,42416000,14.8,0.26,1.0
2020-04-24,72.15544128417969,35232800,14.8,0.26,1.0
2020-04-27,74.02167510986328,47938800,14.8,0.29,1.0
2020-04-28,72.59645080566406,44290400,14.8,0.26,1.0
2020-04-29,74.36553955078125,37916000,14.8,0.24,1.0
2020-04-30,72.82568359375,37591600,14.8,0.24,1.0
2020-05-01,70.4586181640625,34209600,13.2,0.25,1.0
2020-05-04,72.57903289794922,31755600,13.2,0.24,1.0
2020-05-05,73.1894760131836,36889600,13.2,0.24,1.0
2020-05-06,74.1985855102539,32346400,13.2,0.24,1.0
2020-05-07,75.96269226074219,37373200,13.2,0.19,1.0
2020-05-08,77.86380004882812,33921600,13.2,0.21,1.0
2020-05-11,80.38534545898438,46906000,13.2,0.24,1.0
2020-05-12,77.7641372680664,49306000,13.2,0.22,1.0
2020-05-13,77.5398941040039,62585200,13.2,0.2,1.0
2020-05-14,80.03650665283203,60231200,13.2,0.2,1.0
2020-05-15,84.62361145019531,98766000,13.2,0.19,1.0
2020-05-18,87.20995330810547,77446000,13.2,0.24,1.0
2020-05-19,87.76061248779297,71732000,13.2,0.22,1.0
2020-05-20,89.40010070800781,58753600,13.2,0.21,1.0
2020-05-21,87.45912170410156,76106800,13.2,0.21,1.0
2020-05-22,89.9607162475586,103876400,13.2,0.21,1.0
2020-05-26,86.88602447509766,77078000,13.2,0.22,1.0
2020-05-27,84.96747589111328,117589200,13.2,0.22,1.0
2020-05-28,84.58625030517578,73489600,13.2,0.22,1.0
2020-05-29,88.458251953125,74525600,13.2,0.19,1.0
2020-06-01,87.76806640625,38987600,11.0,0.2,1.0
2020-06-02,87.95745849609375,39132000,11.0,0.2,1.0
2020-06-03,87.40179443359375,36544000,11.0,0.26,1.0
2020-06-04,87.41177368164062,42428000,11.0,0.26,1.0
2020-06-05,88.94234466552734,48174800,11.0,0.29,1.0
2020-06-08,87.79566955566406,38773600,11.0,0.29,1.0
2020-06-09,90.1987075805664,46848800,11.0,0.25,1.0
