Date,Close,Volume,Unemployment Rate,rf_3 Yr,const
2020-01-02,59.74123764038086,23753600,3.6,1.59,1.0
2020-01-03,58.78503036499024,20538400,3.6,1.54,1.0
2020-01-06,59.03154754638672,26263600,3.6,1.56,1.0
2020-01-07,59.746219635009766,31485600,3.6,1.55,1.0
2020-01-08,59.85828399658203,27710800,3.6,1.61,1.0
2020-01-09,60.51567840576172,25511200,3.6,1.59,1.0
2020-01-10,60.83940124511719,31629600,3.6,1.59,1.0
2020-01-13,62.74685287475586,31984000,3.6,1.6,1.0
2020-01-14,61.57648086547852,35908800,3.6,1.59,1.0
2020-01-15,61.15066146850586,26310400,3.6,1.56,1.0
2020-01-16,61.98736190795898,28419200,3.6,1.58,1.0
2020-01-17,62.07452392578125,25379200,3.6,1.56,1.0
2020-01-21,61.74083709716797,21791600,3.6,1.53,1.0
2020-01-22,62.28119659423828,23924000,3.6,1.52,1.0
2020-01-23,62.96599197387695,24451600,3.6,1.51,1.0
2020-01-24,62.37333297729492,37351200,3.6,1.48,1.0
2020-01-27,59.813453674316406,47053600,3.6,1.41,1.0
2020-01-28,61.7483024597168,31097600,3.6,1.45,1.0
2020-01-29,61.14319610595703,25884800,3.6,1.39,1.0
2020-01-30,61.21043395996094,29050400,3.6,1.37,1.0
2020-01-31,58.87466812133789,37042000,3.6,1.3,1.0
2020-02-03,59.8458251953125,25556400,3.5,1.34,1.0
2020-02-04,61.53913116455078,27154400,3.5,1.4,1.0
2020-02-05,62.44305419921875,20822000,3.5,1.43,1.0
2020-02-06,63.3121223449707,21828400,3.5,1.43,1.0
2020-02-07,62.64973068237305,18975200,3.5,1.39,1.0
2020-02-10,65.48353576660156,52960800,3.5,1.36,1.0
2020-02-11,66.70869445800781,63855600,3.5,1.39,1.0
2020-02-12,67.8666000366211,37464400,3.5,1.42,1.0
2020-02-13,67.42833709716797,52801600,3.5,1.42,1.0
2020-02-14,72.16211700439453,104192400,3.5,1.4,1.0
2020-02-18,73.85043334960938,62016400,3.5,1.37,1.0
2020-02-19,78.36508178710938,69433200,3.5,1.39,1.0
2020-02-20,76.87100219726562,81005200,3.5,1.35,1.0
2020-02-21,73.22791290283203,76818000,3.5,1.3,1.0
2020-02-24,68.05087280273438,85691600,3.5,1.21,1.0
2020-02-25,65.25443267822266,105549600,3.5,1.16,1.0
2020-02-26,66.64891815185547,74773200,3.5,1.14,1.0
2020-02-27,62.938873291015625,90641600,3.5,1.08,1.0
2020-02-28,67.29175567626953,113325200,3.5,0.85,1.0
2020-03-02,68.87646484375,89074400,4.4,0.85,1.0
2020-03-03,66.25025939941406,65279200,4.4,0.72,1.0
2020-03-04,70.88970184326172,59740800,4.4,0.68,1.0
2020-03-05,68.09407043457031,54032800,4.4,0.61,1.0
2020-03-06,66.28765869140625,51541200,4.4,0.53,1.0
2020-03-09,61.15485000610352,61416000,4.4,0.4,1.0
2020-03-10,65.05177307128906,58064800,4.4,0.58,1.0
2020-03-11,61.4114990234375,49996400,4.4,0.58,1.0
2020-03-12,53.896705627441406,81654000,4.4,0.58,1.0
2020-03-13,60.00868988037109,63483600,4.4,0.58,1.0
2020-03-16,48.93584060668945,72697200,4.4,0.43,1.0
2020-03-17,54.13589477539063,83363200,4.4,0.54,1.0
2020-03-18,50.53547286987305,87426800,4.4,0.66,1.0
2020-03-19,53.06449508666992,76551200,4.4,0.53,1.0
2020-03-20,51.26552581787109,80463600,4.4,0.41,1.0
2020-03-23,52.99472427368164,64387600,4.4,0.31,1.0
2020-03-24,62.08671951293945,110164400,4.4,0.44,1.0
2020-03-25,61.19969940185547,79343200,4.4,0.41,1.0
2020-03-26,64.0949935913086,69610800,4.4,0.36,1.0
2020-03-27,62.97125625610352,63882800,4.4,0.3,1.0
2020-03-30,66.17550659179688,60225200,4.4,0.29,1.0
2020-03-31,65.67965698242188,94996000,4.4,0.29,1.0
2020-04-01,60.56433868408203,65691200,14.8,0.28,1.0
2020-04-02,63.65396881103516,67576400,14.8,0.29,1.0
2020-04-03,60.77363204956055,66321200,14.8,0.3,1.0
2020-04-06,66.87566375732422,72788400,14.8,0.35,1.0
2020-04-07,64.5409927368164,78452000,14.8,0.36,1.0
2020-04-08,66.51437377929688,54244400,14.8,0.34,1.0
2020-04-09,65.5177230834961,52556400,14.8,0.29,1.0
2020-04-13,67.2369384765625,39840800,14.8,0.31,1.0
2020-04-14,70.75016021728516,53094800,14.8,0.29,1.0
2020-04-15,69.97526550292969,36614800,14.8,0.24,1.0
2020-04-16,73.42867279052734,74562000,14.8,0.25,1.0
2020-04-17,72.83566284179688,53912000,14.8,0.26,1.0
2020-04-20,71.52257537841797,44938800,14.8,0.26,1.0
